"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: impl","Param: payloadType","Param: seed","Param: size","Param: testType","Param: threads"
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,40470.923100,305.973206,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16384,iterate,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,6528.811938,1132.980373,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,131072,iterate,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,938.101396,15.044143,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,1048576,iterate,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,238.236539,7.055696,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,4194304,iterate,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,124.204904,5.375103,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,8388608,iterate,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,22.157931,6.434393,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16777216,iterate,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,36389.676188,657.084541,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,even,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,13178.581692,196.152100,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,131072,even,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,2143.359148,66.654241,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,1048576,even,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,513.786123,60.242001,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,4194304,even,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,214.817293,32.038392,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,8388608,even,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,103.352371,11.856361,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16777216,even,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,39518.883454,980.151520,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16384,update,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,9209.823725,322.094308,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,131072,update,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,921.362370,29.814344,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,1048576,update,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,263.708157,28.577240,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,4194304,update,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,95.402239,34.931736,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,8388608,update,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,15.092447,5.354428,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16777216,update,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,17305.143382,176.401211,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,even,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,1965.754159,57.575870,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,131072,even,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,233.938487,3.944992,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,1048576,even,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,60.037438,0.400573,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,4194304,even,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,30.932397,0.632395,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,8388608,even,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,15.305744,0.335557,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16777216,even,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,48131.317424,3332.768565,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16384,update,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,12345.471248,346.576334,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,131072,update,32
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",32,40,1244.140559,64.924404,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,1048576,update,32
